,Investors,Company Name,Company URL,Role,Sweet Spot,Range,Location,Categories
121,Bob Romney,Miramar Ventures,https://signal.nfx.com/firms/miramar-ventures,Investor,$2.0M,($1M - $3.0M),Investors in Irvine (CA),"Investors in FinTech (Seed), Investors in Human Capital/HRTech (Seed), Investors in LegalTech (Seed), Investors in MarketingTech (Seed), Investors in Sales & CRM (Seed), Investors in Semiconductors (Seed), Investors in FinTech (Series A), Investors in Human Capital/HRTech (Series A), Investors in LegalTech (Series A), Investors in MarketingTech (Series A), Investors in Sales & CRM (Series A), Investors in Semiconductors (Series A), Investors in Angel, Scout, and Solo-Capitalists (Other Lists), Investors in Los Angeles / Southern California (Other Lists), Investors in Los Angeles / Southern California (Other Lists)"
122,Filippo Neri Nardi-Dei,CII3 Advisors,https://signal.nfx.com/firms/cii3-advisors,Investor,$1.5M,($100K - $5.0M),Investors in Milan (Italy),"Investors in FinTech (Seed), Investors in LegalTech (Seed), Investors in Parenting/Families (Seed), Investors in FinTech (Series A), Investors in LegalTech (Series A), Investors in Parenting/Families (Series A)"
123,Francesca Bertocchi,CII3 Advisors,https://signal.nfx.com/firms/cii3-advisors,Investor,$1.5M,($100K - $5.0M),Investors in Milan (Italy),"Investors in FinTech (Seed), Investors in LegalTech (Seed), Investors in Parenting/Families (Seed), Investors in FinTech (Series A), Investors in LegalTech (Series A), Investors in Parenting/Families (Series A)"
124,Elisa De Martini,CII3 Advisors,https://signal.nfx.com/firms/cii3-advisors,Investor,$1.5M,($100K - $5.0M),Investors in Milan (Italy),"Investors in FinTech (Seed), Investors in LegalTech (Seed), Investors in Parenting/Families (Seed), Investors in FinTech (Series A), Investors in LegalTech (Series A), Investors in Parenting/Families (Series A)"
125,Luigi Santini,CII3 Advisors,https://signal.nfx.com/firms/cii3-advisors,Investor,$1.5M,($100K - $5.0M),Investors in Milan (Italy),"Investors in FinTech (Seed), Investors in LegalTech (Seed), Investors in Parenting/Families (Seed), Investors in FinTech (Series A), Investors in LegalTech (Series A), Investors in Parenting/Families (Series A)"
126,Guenther Dobrauz,Exelixis Capital,https://signal.nfx.com/firms/exelixis-capital,Investor,$1.5M,($100K - $5.0M),Investors in Zurich (Switzerland),"Investors in LegalTech (Seed), Investors in Web3/Blockchain (Seed), Investors in Web3/Crypto (Seed), Investors in LegalTech (Series A), Investors in Web3/Blockchain (Series A), Investors in Web3/Crypto (Series A)"
127,Vivian van Asperen,Graduate Entrepreneur,https://signal.nfx.com/firms/graduate-entrepreneur,Investor,$1.5M,($100K - $5.0M),Investors in Netherlands,"Investors in E-commerce (Pre-seed), Investors in LegalTech (Pre-seed), Investors in SaaS (Pre-seed), Investors in Wellness & Fitness (Pre-seed), Investors in E-commerce (Seed), Investors in LegalTech (Seed), Investors in SaaS (Seed), Investors in Wellness & Fitness (Seed)"
128,Joppe van Hoeve,Graduate Entrepreneur,https://signal.nfx.com/firms/graduate-entrepreneur,Investor,$1.5M,($100K - $5.0M),Investors in Netherlands,"Investors in ClimateTech/CleanTech (Pre-seed), Investors in E-commerce (Pre-seed), Investors in LegalTech (Pre-seed), Investors in SaaS (Pre-seed), Investors in Wellness & Fitness (Pre-seed), Investors in ClimateTech/CleanTech (Seed), Investors in E-commerce (Seed), Investors in LegalTech (Seed), Investors in SaaS (Seed), Investors in Wellness & Fitness (Seed)"
129,Philip Busscher,Graduate Entrepreneur,https://signal.nfx.com/firms/graduate-entrepreneur,Investor,$1.5M,($100K - $5.0M),Investors in Netherlands,"Investors in ClimateTech/CleanTech (Pre-seed), Investors in E-commerce (Pre-seed), Investors in LegalTech (Pre-seed), Investors in SaaS (Pre-seed), Investors in Wellness & Fitness (Pre-seed), Investors in ClimateTech/CleanTech (Seed), Investors in E-commerce (Seed), Investors in LegalTech (Seed), Investors in SaaS (Seed), Investors in Wellness & Fitness (Seed)"
130,Nienke Beetsma,Graduate Entrepreneur,https://signal.nfx.com/firms/graduate-entrepreneur,Investor,$1.5M,($100K - $5.0M),Investors in Netherlands,"Investors in ClimateTech/CleanTech (Pre-seed), Investors in E-commerce (Pre-seed), Investors in LegalTech (Pre-seed), Investors in SaaS (Pre-seed), Investors in Wellness & Fitness (Pre-seed), Investors in ClimateTech/CleanTech (Seed), Investors in E-commerce (Seed), Investors in LegalTech (Seed), Investors in SaaS (Seed), Investors in Wellness & Fitness (Seed)"
131,Noor van Dijk,Graduate Entrepreneur,https://signal.nfx.com/firms/graduate-entrepreneur,Investor,$1.5M,($100K - $5.0M),Investors in Netherlands,"Investors in ClimateTech/CleanTech (Pre-seed), Investors in E-commerce (Pre-seed), Investors in LegalTech (Pre-seed), Investors in SaaS (Pre-seed), Investors in Wellness & Fitness (Pre-seed), Investors in ClimateTech/CleanTech (Seed), Investors in E-commerce (Seed), Investors in LegalTech (Seed), Investors in SaaS (Seed), Investors in Wellness & Fitness (Seed)"
132,Josha Witjes,Graduate Entrepreneur,https://signal.nfx.com/firms/graduate-entrepreneur,Investor,$1.5M,($100K - $5.0M),Investors in Netherlands,"Investors in ClimateTech/CleanTech (Pre-seed), Investors in E-commerce (Pre-seed), Investors in LegalTech (Pre-seed), Investors in SaaS (Pre-seed), Investors in Wellness & Fitness (Pre-seed), Investors in ClimateTech/CleanTech (Seed), Investors in E-commerce (Seed), Investors in LegalTech (Seed), Investors in SaaS (Seed), Investors in Wellness & Fitness (Seed)"
133,Lara Guerrini,Graduate Entrepreneur,https://signal.nfx.com/firms/graduate-entrepreneur,Investor,$1.5M,($100K - $5.0M),Investors in Netherlands,"Investors in ClimateTech/CleanTech (Pre-seed), Investors in E-commerce (Pre-seed), Investors in LegalTech (Pre-seed), Investors in SaaS (Pre-seed), Investors in Wellness & Fitness (Pre-seed), Investors in ClimateTech/CleanTech (Seed), Investors in E-commerce (Seed), Investors in LegalTech (Seed), Investors in SaaS (Seed), Investors in Wellness & Fitness (Seed)"
134,Anne van Laarhoven,Graduate Entrepreneur,https://signal.nfx.com/firms/graduate-entrepreneur,Investor,$1.5M,($100K - $5.0M),Investors in Netherlands,"Investors in ClimateTech/CleanTech (Pre-seed), Investors in E-commerce (Pre-seed), Investors in LegalTech (Pre-seed), Investors in SaaS (Pre-seed), Investors in Wellness & Fitness (Pre-seed), Investors in ClimateTech/CleanTech (Seed), Investors in E-commerce (Seed), Investors in LegalTech (Seed), Investors in SaaS (Seed), Investors in Wellness & Fitness (Seed)"
135,Hidde Goslings,Graduate Entrepreneur,https://signal.nfx.com/firms/graduate-entrepreneur,Investor,$1.5M,($100K - $5.0M),Investors in Netherlands,"Investors in ClimateTech/CleanTech (Pre-seed), Investors in E-commerce (Pre-seed), Investors in LegalTech (Pre-seed), Investors in SaaS (Pre-seed), Investors in Wellness & Fitness (Pre-seed), Investors in ClimateTech/CleanTech (Seed), Investors in E-commerce (Seed), Investors in LegalTech (Seed), Investors in SaaS (Seed), Investors in Wellness & Fitness (Seed)"
136,Mark ter Heide,Graduate Entrepreneur,https://signal.nfx.com/firms/graduate-entrepreneur,Investor,$1.5M,($100K - $5.0M),Investors in Netherlands,"Investors in ClimateTech/CleanTech (Pre-seed), Investors in E-commerce (Pre-seed), Investors in LegalTech (Pre-seed), Investors in SaaS (Pre-seed), Investors in Wellness & Fitness (Pre-seed), Investors in ClimateTech/CleanTech (Seed), Investors in E-commerce (Seed), Investors in LegalTech (Seed), Investors in SaaS (Seed), Investors in Wellness & Fitness (Seed)"
137,Amara Klink,Graduate Entrepreneur,https://signal.nfx.com/firms/graduate-entrepreneur,Investor,$1.5M,($100K - $5.0M),Investors in Netherlands,"Investors in ClimateTech/CleanTech (Pre-seed), Investors in E-commerce (Pre-seed), Investors in LegalTech (Pre-seed), Investors in SaaS (Pre-seed), Investors in Wellness & Fitness (Pre-seed), Investors in ClimateTech/CleanTech (Seed), Investors in E-commerce (Seed), Investors in LegalTech (Seed), Investors in SaaS (Seed), Investors in Wellness & Fitness (Seed)"
138,Bas van der Noll,Graduate Entrepreneur,https://signal.nfx.com/firms/graduate-entrepreneur,Investor,$1.5M,($100K - $5.0M),Investors in Netherlands,"Investors in ClimateTech/CleanTech (Pre-seed), Investors in E-commerce (Pre-seed), Investors in LegalTech (Pre-seed), Investors in SaaS (Pre-seed), Investors in Wellness & Fitness (Pre-seed), Investors in ClimateTech/CleanTech (Seed), Investors in E-commerce (Seed), Investors in LegalTech (Seed), Investors in SaaS (Seed), Investors in Wellness & Fitness (Seed)"
139,Eline van Beest,Graduate Entrepreneur,https://signal.nfx.com/firms/graduate-entrepreneur,Investor,$1.5M,($100K - $5.0M),Investors in Netherlands,"Investors in ClimateTech/CleanTech (Pre-seed), Investors in E-commerce (Pre-seed), Investors in LegalTech (Pre-seed), Investors in SaaS (Pre-seed), Investors in Wellness & Fitness (Pre-seed), Investors in ClimateTech/CleanTech (Seed), Investors in E-commerce (Seed), Investors in LegalTech (Seed), Investors in SaaS (Seed), Investors in Wellness & Fitness (Seed)"
140,Ary Vaidya,Kyber Knight Capital,https://signal.nfx.com/firms/kyber-knight-capital,Investor,$1.5M,($250K - $3.0M),Investors in SF Bay Area (CA),"Investors in AI (Pre-seed), Investors in Developer Tools (Pre-seed), Investors in E-commerce (Pre-seed), Investors in Enterprise (Pre-seed), Investors in Entertainment & Sports (Pre-seed), Investors in Generative Tech/AI (Pre-seed), Investors in LegalTech (Pre-seed), Investors in SMB Software (Pre-seed), Investors in AI (Seed), Investors in Developer Tools (Seed), Investors in E-commerce (Seed), Investors in Enterprise (Seed), Investors in Entertainment & Sports (Seed), Investors in Generative Tech/AI (Seed), Investors in LegalTech (Seed), Investors in SMB Software (Seed), Investors in Diverse Investors (Other Lists), Investors in New York City (Other Lists), Investors in San Francisco Bay Area (Other Lists), Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who were founders (Other Lists)"
141,Mili Raina,Crossbeam Venture Partners,https://signal.nfx.com/firms/crossbeam-venture-partners,Senior Associate,$1.5M,($500K - $3.0M),Investors in New York (NY),"Investors in Digital Health (Pre-seed), Investors in FinTech (Pre-seed), Investors in Health & Hospital Services (Pre-seed), Investors in Health IT (Pre-seed), Investors in LegalTech (Pre-seed), Investors in Media/Content (Pre-seed), Investors in Payments (Pre-seed), Investors in Digital Health (Seed), Investors in FinTech (Seed), Investors in Health & Hospital Services (Seed), Investors in Health IT (Seed), Investors in LegalTech (Seed), Investors in Media/Content (Seed), Investors in Payments (Seed), Investors in Digital Health (Series A), Investors in FinTech (Series A), Investors in Health & Hospital Services (Series A), Investors in Health IT (Series A), Investors in LegalTech (Series A), Investors in Media/Content (Series A), Investors in Payments (Series A), Investors in New York City (Other Lists), Investors in New York City (Other Lists)"
142,Nicole Bentz,S3 Ventures,https://signal.nfx.com/firms/s3-ventures,Senior Associate,$5.0M,($250K - $10.0M),"Investors in San Antonio (TX),","Investors in AI (Seed), Investors in ConstructionTech (Seed), Investors in Cybersecurity (Seed), Investors in Enterprise (Seed), Investors in FinTech (Seed), Investors in Insurance (Seed), Investors in LegalTech (Seed), Investors in Real Estate/PropTech (Seed), Investors in SaaS (Seed), Investors in SMB Software (Seed), Investors in AI (Series A), Investors in ConstructionTech (Series A), Investors in Cybersecurity (Series A), Investors in Enterprise (Series A), Investors in FinTech (Series A), Investors in Insurance (Series A), Investors in LegalTech (Series A), Investors in Real Estate/PropTech (Series A), Investors in SaaS (Series A), Investors in SMB Software (Series A), Investors in AI (Series B), Investors in ConstructionTech (Series B), Investors in Cybersecurity (Series B), Investors in Enterprise (Series B), Investors in FinTech (Series B), Investors in Insurance (Series B), Investors in LegalTech (Series B), Investors in Real Estate/PropTech (Series B), Investors in SaaS (Series B), Investors in SMB Software (Series B), Investors in Angel, Scout, and Solo-Capitalists (Other Lists), Investors in Austin (Other Lists), Investors in Austin (Other Lists), Investors in Austin (Other Lists), Investors in Austin (Other Lists), Investors in Austin (Other Lists), Investors in Diverse Investors (Other Lists), Investors in Female Investors (Other Lists), Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists)"
143,Guy Dassa,OurCrowd,https://signal.nfx.com/firms/ourcrowd,Senior Associate,$8.0M,($1M - $15.0M),Investors in Israel,"Investors in FinTech (Pre-seed), Investors in LegalTech (Pre-seed), Investors in FinTech (Seed), Investors in LegalTech (Seed), Investors in Israel (Other Lists), Investors in Israel (Other Lists)"
144,Amrit Dhillon,Thomvest Ventures,https://signal.nfx.com/firms/thomvest-ventures,Senior Associate,$10.3M,($500K - $20.0M),Investors in Toronto (Ontario),"Investors in FinTech (Seed), Investors in LegalTech (Seed), Investors in FinTech (Series A), Investors in LegalTech (Series A), Investors in FinTech (Series B), Investors in LegalTech (Series B), Investors in British Columbia (Other Lists), Investors in British Columbia (Other Lists)"
145,Elsie Oyoo,2Flo Ventures,https://signal.nfx.com/firms/2flo-ventures,Analyst,$1.5M,($100K - $5.0M),Investors in Kenya,"Investors in LegalTech (Seed), Investors in LegalTech (Series A)"
146,Jannis Fett,HV Capital,https://signal.nfx.com/firms/hv-capital,Associate,$25.0M,($690K - $69.0M),Investors in Berlin (Germany),"Investors in Digital Health (Seed), Investors in E-commerce (Seed), Investors in Fashion (Seed), Investors in FinTech (Seed), Investors in Health & Hospital Services (Seed), Investors in Health IT (Seed), Investors in LegalTech (Seed), Investors in Marketplaces (Seed), Investors in Retail (Seed), Investors in TransportationTech (Seed), Investors in Digital Health (Series A), Investors in E-commerce (Series A), Investors in Fashion (Series A), Investors in FinTech (Series A), Investors in Health & Hospital Services (Series A), Investors in Health IT (Series A), Investors in LegalTech (Series A), Investors in Marketplaces (Series A), Investors in Retail (Series A), Investors in TransportationTech (Series A), Investors in Digital Health (Series B), Investors in E-commerce (Series B), Investors in Fashion (Series B), Investors in FinTech (Series B), Investors in Health & Hospital Services (Series B), Investors in Health IT (Series B), Investors in LegalTech (Series B), Investors in Marketplaces (Series B), Investors in Retail (Series B), Investors in TransportationTech (Series B)"
147,Alex Notis,Crossbeam Venture Partners,https://signal.nfx.com/firms/crossbeam-venture-partners,Associate,$1.5M,($500K - $3.0M),Investors in New York,"Investors in Cloud Infrastructure (Pre-seed), Investors in E-commerce (Pre-seed), Investors in Entertainment & Sports (Pre-seed), Investors in FinTech (Pre-seed), Investors in LegalTech (Pre-seed), Investors in Marketplaces (Pre-seed), Investors in Social Commerce (Pre-seed), Investors in Cloud Infrastructure (Seed), Investors in E-commerce (Seed), Investors in Entertainment & Sports (Seed), Investors in FinTech (Seed), Investors in LegalTech (Seed), Investors in Marketplaces (Seed), Investors in Social Commerce (Seed), Investors in Cloud Infrastructure (Series A), Investors in E-commerce (Series A), Investors in Entertainment & Sports (Series A), Investors in FinTech (Series A), Investors in LegalTech (Series A), Investors in Marketplaces (Series A), Investors in Social Commerce (Series A)"
148,Jyothi Vallurupalli,Lightbank,https://signal.nfx.com/firms/lightbank,Associate,$1.5M,($100K - $5.0M),Investors in Chicago (IL),"Investors in Games (Seed), Investors in LegalTech (Seed), Investors in MarketingTech (Seed), Investors in Security (Seed), Investors in Social Commerce (Seed), Investors in Social Networks (Seed), Investors in TransportationTech (Seed), Investors in Games (Series A), Investors in LegalTech (Series A), Investors in MarketingTech (Series A), Investors in Security (Series A), Investors in Social Commerce (Series A), Investors in Social Networks (Series A), Investors in TransportationTech (Series A), Investors in Games (Series B), Investors in LegalTech (Series B), Investors in MarketingTech (Series B), Investors in Security (Series B), Investors in Social Commerce (Series B), Investors in Social Networks (Series B), Investors in TransportationTech (Series B), Investors in Midwest (Other Lists), Investors in Midwest (Other Lists)"
149,Nienke Roef,Graduate Entrepreneur,https://signal.nfx.com/firms/graduate-entrepreneur,Associate,$1.5M,($100K - $5.0M),Investors in Netherlands,"Investors in ClimateTech/CleanTech (Pre-seed), Investors in E-commerce (Pre-seed), Investors in LegalTech (Pre-seed), Investors in SaaS (Pre-seed), Investors in Wellness & Fitness (Pre-seed), Investors in ClimateTech/CleanTech (Seed), Investors in E-commerce (Seed), Investors in LegalTech (Seed), Investors in SaaS (Seed), Investors in Wellness & Fitness (Seed)"
150,Jay Novis,QBE Ventures,https://signal.nfx.com/firms/qbe-ventures,Associate,$6.0M,($2.0M - $10.0M),"Investors in United Kingdom,","Investors in AI (Series A), Investors in ConstructionTech (Series A), Investors in Insurance (Series A), Investors in LegalTech (Series A), Investors in AI (Series B), Investors in ConstructionTech (Series B), Investors in Insurance (Series B), Investors in LegalTech (Series B), Investors in New York City (Other Lists)"
151,Sam Hallene,CMT Digital,https://signal.nfx.com/firms/cmt-digital,Analyst,$1.5M,($100K - $5.0M),Investors in Chicago (IL),"Investors in LegalTech (Seed), Investors in Web3/Crypto (Seed), Investors in LegalTech (Series A), Investors in Web3/Crypto (Series A), Investors in Midwest (Other Lists), Investors in Midwest (Other Lists)"
152,Carlos Pardo,Créame Incubadora de Empresas,https://signal.nfx.com/firms/creame-incubadora-de-empresas,Analyst,$3K,($1K - $200K),Investors in Colombia,"Investors in AgTech (Pre-seed), Investors in BioTech (Pre-seed), Investors in ConstructionTech (Pre-seed), Investors in Data Services (Pre-seed), Investors in FinTech (Pre-seed), Investors in Food and Beverage (Pre-seed), Investors in LegalTech (Pre-seed), Investors in Logistics (Pre-seed), Investors in AgTech (Seed), Investors in BioTech (Seed), Investors in ConstructionTech (Seed), Investors in Data Services (Seed), Investors in FinTech (Seed), Investors in Food and Beverage (Seed), Investors in LegalTech (Seed), Investors in Logistics (Seed), Investors in Angel, Scout, and Solo-Capitalists (Other Lists), Investors in LatAm (Latin America) (Other Lists), Investors in LatAm (Latin America) (Other Lists), Investors in Investors who invested in diverse founders (Other Lists)"
153,Rembrandt Donkersloot,FORWARD.one,https://signal.nfx.com/firms/forward-one,Associate,$1.5M,($100K - $5.0M),Investors in Netherlands,"Investors in Advertising (Seed), Investors in AR/VR (Seed), Investors in AudioTech (Seed), Investors in Cloud Infrastructure (Seed), Investors in EnergyTech (Seed), Investors in LegalTech (Seed), Investors in MarketingTech (Seed), Investors in Advertising (Series A), Investors in AR/VR (Series A), Investors in AudioTech (Series A), Investors in Cloud Infrastructure (Series A), Investors in EnergyTech (Series A), Investors in LegalTech (Series A), Investors in MarketingTech (Series A)"
154,Guglielmo Sirolli,Nauta Capital,https://signal.nfx.com/firms/nauta-capital,Analyst,$2.5M,($1M - $5.0M),"Investors in Ireland,","Investors in Cybersecurity (Seed), Investors in FinTech (Seed), Investors in Human Capital/HRTech (Seed), Investors in Insurance (Seed), Investors in LegalTech (Seed), Investors in SaaS (Seed), Investors in Sales & CRM (Seed), Investors in SMB Software (Seed), Investors in Web3/Blockchain (Seed), Investors in Web3/Crypto (Seed), Investors in Cybersecurity (Series A), Investors in FinTech (Series A), Investors in Human Capital/HRTech (Series A), Investors in Insurance (Series A), Investors in LegalTech (Series A), Investors in SaaS (Series A), Investors in Sales & CRM (Series A), Investors in SMB Software (Series A), Investors in Web3/Blockchain (Series A), Investors in Web3/Crypto (Series A), Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)"
155,Artem Potapov,Carrick Capital Partners,https://signal.nfx.com/firms/carrick-capital-partners,Analyst,$25.0M,($10.0M - $50.0M),Investors in San Francisco (CA),"Investors in Data Services (Series B), Investors in Digital Health (Series B), Investors in Education (Series B), Investors in Health & Hospital Services (Series B), Investors in Health IT (Series B), Investors in LegalTech (Series B), Investors in San Francisco Bay Area (Other Lists), Investors in San Francisco Bay Area (Other Lists)"
156,Faidra Sourpi,CII3 Advisors,https://signal.nfx.com/firms/cii3-advisors,Analyst,$1.5M,($100K - $5.0M),Investors in Milan (Italy),"Investors in FinTech (Seed), Investors in LegalTech (Seed), Investors in Parenting/Families (Seed), Investors in FinTech (Series A), Investors in LegalTech (Series A), Investors in Parenting/Families (Series A)"
157,Tsering Tashi Lama,Carrick Capital Partners,https://signal.nfx.com/firms/carrick-capital-partners,Associate,$25.0M,($10.0M - $50.0M),Investors in San Francisco (CA),"Investors in AI (Series B), Investors in Education (Series B), Investors in LegalTech (Series B), Investors in San Francisco Bay Area (Other Lists), Investors in San Francisco Bay Area (Other Lists)"
158,Yonatan Sher,AP Ventures,https://signal.nfx.com/firms/ap-ventures,Associate,$1.5M,($100K - $5.0M),"Investors in United Kingdom,","Investors in ClimateTech/CleanTech (Seed), Investors in LegalTech (Seed), Investors in Travel (Seed), Investors in ClimateTech/CleanTech (Series A), Investors in LegalTech (Series A), Investors in Travel (Series A), Investors in London (Other Lists)"
159,Alissa Kay,One Way Ventures,https://signal.nfx.com/firms/one-way-ventures,Analyst,$1.2M,($500K - $1.5M),"Investors in Canada,","Investors in AutoTech (Pre-seed), Investors in ClimateTech/CleanTech (Pre-seed), Investors in EnergyTech (Pre-seed), Investors in LegalTech (Pre-seed), Investors in Logistics (Pre-seed), Investors in Supply Chain Tech (Pre-seed), Investors in TransportationTech (Pre-seed), Investors in AutoTech (Seed), Investors in ClimateTech/CleanTech (Seed), Investors in EnergyTech (Seed), Investors in LegalTech (Seed), Investors in Logistics (Seed), Investors in Supply Chain Tech (Seed), Investors in TransportationTech (Seed), Investors in AutoTech (Series A), Investors in ClimateTech/CleanTech (Series A), Investors in EnergyTech (Series A), Investors in LegalTech (Series A), Investors in Logistics (Series A), Investors in Supply Chain Tech (Series A), Investors in TransportationTech (Series A), Investors in Boston / New England (Other Lists), Investors in Canada (Other Lists), Investors in Diverse Investors (Other Lists), Investors in Female Investors (Other Lists), Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists)"
160,Youp van 't Hoff,Graduate Entrepreneur,https://signal.nfx.com/firms/graduate-entrepreneur,Analyst,$1.5M,($100K - $5.0M),Investors in Netherlands,"Investors in ClimateTech/CleanTech (Pre-seed), Investors in E-commerce (Pre-seed), Investors in LegalTech (Pre-seed), Investors in SaaS (Pre-seed), Investors in Wellness & Fitness (Pre-seed), Investors in ClimateTech/CleanTech (Seed), Investors in E-commerce (Seed), Investors in LegalTech (Seed), Investors in SaaS (Seed), Investors in Wellness & Fitness (Seed)"
161,Ved Nathwani,Ada Ventures,https://signal.nfx.com/firms/ada-ventures,Scout,$500K,($250K - $1M),Investors in United Kingdom,"Investors in Advertising (Seed), Investors in AI (Seed), Investors in ClimateTech/CleanTech (Seed), Investors in Education (Seed), Investors in Impact (Seed), Investors in LegalTech (Seed), Investors in Advertising (Series A), Investors in AI (Series A), Investors in ClimateTech/CleanTech (Series A), Investors in Education (Series A), Investors in Impact (Series A), Investors in LegalTech (Series A)"
